cycle,e_sweep,e_obs,attr_std,trans_std,e_alt,attr_r1,r1_disagree,trans_r1,pop_xor,attr_r2,r2_disagree,trans_r2,e_lag,attr_r3,r3_disagree,trans_r3,e_r4,attr_r4,r4_disagree,trans_r4,rot_k,epoch_mask
3261,62,61,2,0,40,4,1,0,6,4,1,0,60,2,0,0,50,2,0,1,11,1870
3262,63,63,3,1,35,4,1,0,8,4,1,0,61,2,1,0,50,2,1,0,11,1870
3263,0,63,3,0,32,4,1,0,11,4,1,0,63,3,0,1,11,4,1,1,1,7482
3264,1,0,1,1,3,4,1,0,0,1,0,1,63,3,1,0,53,2,1,1,1,7482
3265,2,1,4,1,6,4,0,0,5,4,0,1,0,1,1,1,55,2,1,0,1,7482
3266,3,2,4,0,10,4,0,0,6,4,0,0,1,4,0,1,49,4,0,1,1,7482
3267,4,3,4,0,15,4,0,0,6,4,0,0,2,4,0,0,51,2,1,1,1,7482
3268,5,4,4,0,18,4,0,0,4,4,0,0,3,4,0,0,60,2,1,0,1,7482
3269,6,5,4,0,22,4,0,0,7,4,0,0,4,4,0,0,62,2,1,0,1,7482
3270,7,6,4,0,27,4,0,0,9,4,0,0,5,4,0,0,56,2,1,0,1,7482
3271,8,7,4,0,30,4,0,0,6,4,0,0,6,4,0,0,58,2,1,0,1,7482
3272,9,8,4,0,37,4,0,0,7,4,0,0,7,4,0,0,36,4,0,1,1,7482
3273,10,9,4,0,34,4,0,0,4,4,0,0,8,4,0,0,39,4,0,0,1,7482
3274,11,10,4,0,44,4,0,0,6,4,0,0,9,4,0,0,32,4,0,0,1,7482
3275,12,11,4,0,43,4,0,0,5,4,0,0,10,4,0,0,35,4,0,0,1,7482
3276,13,13,4,0,50,2,1,1,8,4,0,0,11,4,0,0,46,4,0,0,1,7482
3277,14,13,4,0,49,4,0,1,9,4,0,0,13,4,0,0,47,4,0,0,1,7482
3278,15,14,4,0,60,2,1,1,11,4,0,0,13,4,0,0,41,4,0,0,1,7482
3279,16,15,4,0,57,2,1,0,4,4,0,0,14,4,0,0,42,4,0,0,4,5353
