cycle,regime,local_cycle,active_mode,mask_val,computed,computed_mod,e_field_base,e_field_mod,attractor_base,attractor_mod,attractor_changed,delta_computed,delta_mod,transition_base,mode_lfsr_state
5185,4,685,2,4032,3249,881,50,13,2,4,1,431,465,0,14964
5186,4,686,3,4095,2386,1709,37,26,4,4,0,863,863,1,29929
5187,4,687,0,0,660,660,10,10,4,4,0,1726,1726,0,27091
5188,4,688,1,63,1304,1319,20,20,4,4,0,644,636,0,21415
5189,4,689,2,4032,2593,1505,40,23,4,4,0,1289,1271,0,10062
5190,4,690,3,4095,1075,3020,16,47,4,4,0,1518,1518,0,20125
5191,4,691,0,0,2135,2135,33,33,4,4,0,1060,1060,0,7482
5192,4,692,1,63,159,160,2,2,4,4,0,1976,1992,0,14964
5193,4,693,2,4032,303,3823,4,59,4,2,1,144,112,0,29929
5194,4,694,3,4095,583,3512,9,54,4,2,1,280,280,0,27091
5195,4,695,0,0,1158,1158,18,18,4,4,0,575,575,0,21415
5196,4,696,1,63,2308,2363,36,36,4,4,0,1150,1154,0,10062
5197,4,697,2,4032,512,3520,8,55,4,2,1,1796,1788,0,20125
5198,4,698,3,4095,1009,3086,15,48,4,4,0,497,497,0,7482
5199,4,699,0,0,2003,2003,31,31,4,4,0,994,994,0,14964
5200,4,700,1,63,3991,4008,62,62,2,2,0,1988,1980,1,29929
5201,4,701,2,4032,3870,222,60,3,2,4,1,121,135,0,27091
5202,4,702,3,4095,3628,467,56,7,2,4,1,242,242,0,21415
5203,4,703,0,0,3140,3140,49,49,4,4,0,488,488,1,10062
5204,4,704,1,63,2177,2238,34,34,4,4,0,963,957,0,20125
5205,4,705,2,4032,247,3895,3,60,4,2,1,1930,2038,0,7482
5206,4,706,3,4095,479,3616,7,56,4,2,1,232,232,0,14964
5207,4,707,0,0,942,942,14,14,4,4,0,463,463,0,29929
5208,4,708,1,63,1862,1913,29,29,4,4,0,920,1000,0,27091
5209,4,709,2,4032,3717,325,58,5,2,4,1,1855,1857,1,21415
5210,4,710,3,4095,3330,765,52,11,2,4,1,387,387,0,10062
5211,4,711,0,0,2554,2554,39,39,4,4,0,776,776,1,20125
5212,4,712,1,63,996,987,15,15,4,4,0,1558,1514,0,7482
5213,4,713,2,4032,1976,2168,30,33,4,4,0,980,940,0,14964
5214,4,714,3,4095,3937,158,61,2,2,4,1,1961,1961,1,29929
5215,4,715,0,0,3762,3762,58,58,2,2,0,175,175,0,27091
5216,4,716,1,63,3413,3434,53,53,2,2,0,349,291,0,21415
5217,4,717,2,4032,2715,1371,42,21,4,4,0,698,710,1,10062
5218,4,718,3,4095,1318,2777,20,43,4,4,0,1397,1397,0,20125
5219,4,719,0,0,2620,2620,40,40,4,4,0,1302,1302,0,7482
5220,4,720,1,63,1128,1111,17,17,4,4,0,1492,1452,0,14964
5221,4,721,2,4032,2240,1792,35,28,4,4,0,1112,1192,0,29929
5222,4,722,3,4095,370,3725,5,58,4,2,1,1870,1870,0,27091
